2024-03-23 12:34:25.310 | INFO     | agentscope.models:read_model_configs:171 - Load configs for model wrapper: qwenMax
2024-03-23 12:34:25.317 | INFO     | agentscope.utils.monitor:_create_monitor_table:341 - Init [monitor_metrics] as the monitor table
2024-03-23 12:34:25.319 | INFO     | agentscope.utils.monitor:_create_monitor_table:342 - Init [monitor_metrics_quota_exceeded] as the monitor trigger
2024-03-23 12:34:25.319 | INFO     | agentscope.utils.monitor:__init__:311 - SqliteMonitor initialization completed at [./runs/run_20240323-123424_p1rtga/agentscope.db]
2024-03-23 12:34:25.745 | WARNING  | agentscope.models:_get_model_wrapper:80 - Model type [tongyi_chat] will be deprecated in future releases, please use [dashscope_chat] instead.
2024-03-23 12:34:25.746 | INFO     | agentscope.models.model:__init__:239 - Initialize model [qwenMax]
2024-03-23 12:34:25.749 | INFO     | agentscope.utils.monitor:register:362 - Register metric [qwen-max.prompt_tokens] to SqliteMonitor with unit [token] and quota [None]
2024-03-23 12:34:25.754 | INFO     | agentscope.utils.monitor:register:362 - Register metric [qwen-max.completion_tokens] to SqliteMonitor with unit [token] and quota [None]
2024-03-23 12:34:25.757 | INFO     | agentscope.utils.monitor:register:362 - Register metric [qwen-max.total_tokens] to SqliteMonitor with unit [token] and quota [None]
2024-03-23 12:34:25.759 | WARNING  | agentscope.models:_get_model_wrapper:80 - Model type [tongyi_chat] will be deprecated in future releases, please use [dashscope_chat] instead.
2024-03-23 12:34:25.759 | INFO     | agentscope.models.model:__init__:239 - Initialize model [qwenMax]
2024-03-23 12:34:25.764 | WARNING  | agentscope.models:_get_model_wrapper:80 - Model type [tongyi_chat] will be deprecated in future releases, please use [dashscope_chat] instead.
2024-03-23 12:34:25.765 | INFO     | agentscope.models.model:__init__:239 - Initialize model [qwenMax]
2024-03-23 12:34:49.702 | WARNING  | agentscope.models:_get_model_wrapper:80 - Model type [tongyi_chat] will be deprecated in future releases, please use [dashscope_chat] instead.
2024-03-23 12:34:49.704 | INFO     | agentscope.models.model:__init__:239 - Initialize model [qwenMax]
2024-03-23 12:34:49.713 | WARNING  | agentscope.models:_get_model_wrapper:80 - Model type [tongyi_chat] will be deprecated in future releases, please use [dashscope_chat] instead.
2024-03-23 12:34:49.714 | INFO     | agentscope.models.model:__init__:239 - Initialize model [qwenMax]
2024-03-23 12:34:49.720 | WARNING  | agentscope.models:_get_model_wrapper:80 - Model type [tongyi_chat] will be deprecated in future releases, please use [dashscope_chat] instead.
2024-03-23 12:34:49.722 | INFO     | agentscope.models.model:__init__:239 - Initialize model [qwenMax]
2024-03-23 12:34:55.711 | WARNING  | agentscope.models:_get_model_wrapper:80 - Model type [tongyi_chat] will be deprecated in future releases, please use [dashscope_chat] instead.
2024-03-23 12:34:55.712 | INFO     | agentscope.models.model:__init__:239 - Initialize model [qwenMax]
2024-03-23 12:34:55.722 | WARNING  | agentscope.models:_get_model_wrapper:80 - Model type [tongyi_chat] will be deprecated in future releases, please use [dashscope_chat] instead.
2024-03-23 12:34:55.723 | INFO     | agentscope.models.model:__init__:239 - Initialize model [qwenMax]
2024-03-23 12:34:55.729 | WARNING  | agentscope.models:_get_model_wrapper:80 - Model type [tongyi_chat] will be deprecated in future releases, please use [dashscope_chat] instead.
2024-03-23 12:34:55.730 | INFO     | agentscope.models.model:__init__:239 - Initialize model [qwenMax]
