2024-03-23 12:59:05.693 | INFO     | agentscope.models:read_model_configs:171 - Load configs for model wrapper: qwenMax
2024-03-23 12:59:05.700 | INFO     | agentscope.utils.monitor:_create_monitor_table:341 - Init [monitor_metrics] as the monitor table
2024-03-23 12:59:05.702 | INFO     | agentscope.utils.monitor:_create_monitor_table:342 - Init [monitor_metrics_quota_exceeded] as the monitor trigger
2024-03-23 12:59:05.704 | INFO     | agentscope.utils.monitor:__init__:311 - SqliteMonitor initialization completed at [./runs/run_20240323-125904_sj32f9/agentscope.db]
2024-03-23 12:59:06.114 | WARNING  | agentscope.models:_get_model_wrapper:80 - Model type [tongyi_chat] will be deprecated in future releases, please use [dashscope_chat] instead.
2024-03-23 12:59:06.115 | INFO     | agentscope.models.model:__init__:239 - Initialize model [qwenMax]
2024-03-23 12:59:06.118 | INFO     | agentscope.utils.monitor:register:362 - Register metric [qwen-max.prompt_tokens] to SqliteMonitor with unit [token] and quota [None]
2024-03-23 12:59:06.122 | INFO     | agentscope.utils.monitor:register:362 - Register metric [qwen-max.completion_tokens] to SqliteMonitor with unit [token] and quota [None]
2024-03-23 12:59:06.125 | INFO     | agentscope.utils.monitor:register:362 - Register metric [qwen-max.total_tokens] to SqliteMonitor with unit [token] and quota [None]
2024-03-23 12:59:06.127 | WARNING  | agentscope.models:_get_model_wrapper:80 - Model type [tongyi_chat] will be deprecated in future releases, please use [dashscope_chat] instead.
2024-03-23 12:59:06.128 | INFO     | agentscope.models.model:__init__:239 - Initialize model [qwenMax]
2024-03-23 12:59:06.131 | WARNING  | agentscope.models:_get_model_wrapper:80 - Model type [tongyi_chat] will be deprecated in future releases, please use [dashscope_chat] instead.
2024-03-23 12:59:06.131 | INFO     | agentscope.models.model:__init__:239 - Initialize model [qwenMax]
