2024-03-23 13:18:31.236 | INFO     | agentscope.models:read_model_configs:171 - Load configs for model wrapper: qwenMax
2024-03-23 13:18:31.241 | INFO     | agentscope.utils.monitor:_create_monitor_table:341 - Init [monitor_metrics] as the monitor table
2024-03-23 13:18:31.242 | INFO     | agentscope.utils.monitor:_create_monitor_table:342 - Init [monitor_metrics_quota_exceeded] as the monitor trigger
2024-03-23 13:18:31.242 | INFO     | agentscope.utils.monitor:__init__:311 - SqliteMonitor initialization completed at [./runs/run_20240323-131830_tq67kq/agentscope.db]
2024-03-23 13:18:31.602 | WARNING  | agentscope.models:_get_model_wrapper:80 - Model type [tongyi_chat] will be deprecated in future releases, please use [dashscope_chat] instead.
2024-03-23 13:18:31.602 | INFO     | agentscope.models.model:__init__:239 - Initialize model [qwenMax]
2024-03-23 13:18:31.608 | INFO     | agentscope.utils.monitor:register:362 - Register metric [qwen-max.prompt_tokens] to SqliteMonitor with unit [token] and quota [None]
2024-03-23 13:18:31.613 | INFO     | agentscope.utils.monitor:register:362 - Register metric [qwen-max.completion_tokens] to SqliteMonitor with unit [token] and quota [None]
2024-03-23 13:18:31.617 | INFO     | agentscope.utils.monitor:register:362 - Register metric [qwen-max.total_tokens] to SqliteMonitor with unit [token] and quota [None]
2024-03-23 13:18:31.621 | WARNING  | agentscope.models:_get_model_wrapper:80 - Model type [tongyi_chat] will be deprecated in future releases, please use [dashscope_chat] instead.
2024-03-23 13:18:31.622 | INFO     | agentscope.models.model:__init__:239 - Initialize model [qwenMax]
2024-03-23 13:18:31.627 | WARNING  | agentscope.models:_get_model_wrapper:80 - Model type [tongyi_chat] will be deprecated in future releases, please use [dashscope_chat] instead.
2024-03-23 13:18:31.628 | INFO     | agentscope.models.model:__init__:239 - Initialize model [qwenMax]
2024-03-23 13:18:56.714 | WARNING  | agentscope.models:_get_model_wrapper:80 - Model type [tongyi_chat] will be deprecated in future releases, please use [dashscope_chat] instead.
2024-03-23 13:18:56.715 | INFO     | agentscope.models.model:__init__:239 - Initialize model [qwenMax]
2024-03-23 13:18:56.722 | WARNING  | agentscope.models:_get_model_wrapper:80 - Model type [tongyi_chat] will be deprecated in future releases, please use [dashscope_chat] instead.
2024-03-23 13:18:56.724 | INFO     | agentscope.models.model:__init__:239 - Initialize model [qwenMax]
2024-03-23 13:18:56.728 | WARNING  | agentscope.models:_get_model_wrapper:80 - Model type [tongyi_chat] will be deprecated in future releases, please use [dashscope_chat] instead.
2024-03-23 13:18:56.729 | INFO     | agentscope.models.model:__init__:239 - Initialize model [qwenMax]
