2024-03-23 13:19:53.887 | INFO     | agentscope.models:read_model_configs:171 - Load configs for model wrapper: qwenMax
2024-03-23 13:19:53.895 | INFO     | agentscope.utils.monitor:_create_monitor_table:341 - Init [monitor_metrics] as the monitor table
2024-03-23 13:19:53.897 | INFO     | agentscope.utils.monitor:_create_monitor_table:342 - Init [monitor_metrics_quota_exceeded] as the monitor trigger
2024-03-23 13:19:53.898 | INFO     | agentscope.utils.monitor:__init__:311 - SqliteMonitor initialization completed at [./runs/run_20240323-131953_c1grou/agentscope.db]
2024-03-23 13:19:54.269 | WARNING  | agentscope.models:_get_model_wrapper:80 - Model type [tongyi_chat] will be deprecated in future releases, please use [dashscope_chat] instead.
2024-03-23 13:19:54.270 | INFO     | agentscope.models.model:__init__:239 - Initialize model [qwenMax]
2024-03-23 13:19:54.274 | INFO     | agentscope.utils.monitor:register:362 - Register metric [qwen-max.prompt_tokens] to SqliteMonitor with unit [token] and quota [None]
2024-03-23 13:19:54.279 | INFO     | agentscope.utils.monitor:register:362 - Register metric [qwen-max.completion_tokens] to SqliteMonitor with unit [token] and quota [None]
2024-03-23 13:19:54.285 | INFO     | agentscope.utils.monitor:register:362 - Register metric [qwen-max.total_tokens] to SqliteMonitor with unit [token] and quota [None]
2024-03-23 13:19:54.289 | WARNING  | agentscope.models:_get_model_wrapper:80 - Model type [tongyi_chat] will be deprecated in future releases, please use [dashscope_chat] instead.
2024-03-23 13:19:54.290 | INFO     | agentscope.models.model:__init__:239 - Initialize model [qwenMax]
2024-03-23 13:19:54.294 | WARNING  | agentscope.models:_get_model_wrapper:80 - Model type [tongyi_chat] will be deprecated in future releases, please use [dashscope_chat] instead.
2024-03-23 13:19:54.296 | INFO     | agentscope.models.model:__init__:239 - Initialize model [qwenMax]
