2024-03-23 13:52:42.156 | INFO     | agentscope.models:read_model_configs:171 - Load configs for model wrapper: qwenMax
2024-03-23 13:52:42.163 | INFO     | agentscope.utils.monitor:_create_monitor_table:341 - Init [monitor_metrics] as the monitor table
2024-03-23 13:52:42.165 | INFO     | agentscope.utils.monitor:_create_monitor_table:342 - Init [monitor_metrics_quota_exceeded] as the monitor trigger
2024-03-23 13:52:42.166 | INFO     | agentscope.utils.monitor:__init__:311 - SqliteMonitor initialization completed at [./runs/run_20240323-135241_65kivi/agentscope.db]
2024-03-23 13:52:42.575 | WARNING  | agentscope.models:_get_model_wrapper:80 - Model type [tongyi_chat] will be deprecated in future releases, please use [dashscope_chat] instead.
2024-03-23 13:52:42.576 | INFO     | agentscope.models.model:__init__:239 - Initialize model [qwenMax]
2024-03-23 13:52:42.580 | INFO     | agentscope.utils.monitor:register:362 - Register metric [qwen-max.prompt_tokens] to SqliteMonitor with unit [token] and quota [None]
2024-03-23 13:52:42.584 | INFO     | agentscope.utils.monitor:register:362 - Register metric [qwen-max.completion_tokens] to SqliteMonitor with unit [token] and quota [None]
2024-03-23 13:52:42.588 | INFO     | agentscope.utils.monitor:register:362 - Register metric [qwen-max.total_tokens] to SqliteMonitor with unit [token] and quota [None]
2024-03-23 13:52:42.590 | WARNING  | agentscope.models:_get_model_wrapper:80 - Model type [tongyi_chat] will be deprecated in future releases, please use [dashscope_chat] instead.
2024-03-23 13:52:42.591 | INFO     | agentscope.models.model:__init__:239 - Initialize model [qwenMax]
2024-03-23 13:52:42.594 | WARNING  | agentscope.models:_get_model_wrapper:80 - Model type [tongyi_chat] will be deprecated in future releases, please use [dashscope_chat] instead.
2024-03-23 13:52:42.595 | INFO     | agentscope.models.model:__init__:239 - Initialize model [qwenMax]
