2024-03-23 14:40:35.770 | INFO     | agentscope.models:read_model_configs:171 - Load configs for model wrapper: qwenMax
2024-03-23 14:40:35.776 | INFO     | agentscope.utils.monitor:_create_monitor_table:341 - Init [monitor_metrics] as the monitor table
2024-03-23 14:40:35.778 | INFO     | agentscope.utils.monitor:_create_monitor_table:342 - Init [monitor_metrics_quota_exceeded] as the monitor trigger
2024-03-23 14:40:35.779 | INFO     | agentscope.utils.monitor:__init__:311 - SqliteMonitor initialization completed at [./runs/run_20240323-144035_6taz72/agentscope.db]
2024-03-23 14:40:36.178 | WARNING  | agentscope.models:_get_model_wrapper:80 - Model type [tongyi_chat] will be deprecated in future releases, please use [dashscope_chat] instead.
2024-03-23 14:40:36.179 | INFO     | agentscope.models.model:__init__:239 - Initialize model [qwenMax]
2024-03-23 14:40:36.182 | INFO     | agentscope.utils.monitor:register:362 - Register metric [qwen-max.prompt_tokens] to SqliteMonitor with unit [token] and quota [None]
2024-03-23 14:40:36.185 | INFO     | agentscope.utils.monitor:register:362 - Register metric [qwen-max.completion_tokens] to SqliteMonitor with unit [token] and quota [None]
2024-03-23 14:40:36.189 | INFO     | agentscope.utils.monitor:register:362 - Register metric [qwen-max.total_tokens] to SqliteMonitor with unit [token] and quota [None]
2024-03-23 14:40:36.191 | WARNING  | agentscope.models:_get_model_wrapper:80 - Model type [tongyi_chat] will be deprecated in future releases, please use [dashscope_chat] instead.
2024-03-23 14:40:36.192 | INFO     | agentscope.models.model:__init__:239 - Initialize model [qwenMax]
2024-03-23 14:40:36.195 | WARNING  | agentscope.models:_get_model_wrapper:80 - Model type [tongyi_chat] will be deprecated in future releases, please use [dashscope_chat] instead.
2024-03-23 14:40:36.195 | INFO     | agentscope.models.model:__init__:239 - Initialize model [qwenMax]
2024-03-23 14:40:44.819 | WARNING  | agentscope.models:_get_model_wrapper:80 - Model type [tongyi_chat] will be deprecated in future releases, please use [dashscope_chat] instead.
2024-03-23 14:40:44.820 | INFO     | agentscope.models.model:__init__:239 - Initialize model [qwenMax]
2024-03-23 14:40:44.830 | WARNING  | agentscope.models:_get_model_wrapper:80 - Model type [tongyi_chat] will be deprecated in future releases, please use [dashscope_chat] instead.
2024-03-23 14:40:44.831 | INFO     | agentscope.models.model:__init__:239 - Initialize model [qwenMax]
2024-03-23 14:40:44.838 | WARNING  | agentscope.models:_get_model_wrapper:80 - Model type [tongyi_chat] will be deprecated in future releases, please use [dashscope_chat] instead.
2024-03-23 14:40:44.839 | INFO     | agentscope.models.model:__init__:239 - Initialize model [qwenMax]
